WorkerId,TasksCompleted,TimePerTask,WearingMaskCorrectlyAccuracy,WearingMaskIncorrectlyAccuracy,NotWearingMaskAccuracy,TotalAccuracy,GoodWorker
A1188PF2HXG2G6,13,29.846153846153847,0.8461538461538461,0.7692307692307693,1.0,0.8717948717948718,False
A12K2R139DQ2WG,1,94.0,1.0,1.0,1.0,1.0,True
A16TO0535NAM2,5,42.4,1.0,0.8,1.0,0.9333333333333333,False
A18S7VHZ6X4F93,1,90.0,1.0,1.0,1.0,1.0,True
A19Z68L0RHQVWL,1,63.0,1.0,1.0,0.0,0.6666666666666666,False
A1G96GPSRSLPC0,9,41.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.7777777777777778,False
A1I6W7KBSDHOWB,39,46.41025641025641,0.7948717948717948,0.7435897435897436,0.9743589743589743,0.8376068376068376,False
A1L10BVA0EK7VY,59,560.5254237288135,0.9491525423728814,0.8305084745762712,1.0,0.9265536723163842,False
A1LDS7OIWQ150C,4,142.25,0.75,0.75,1.0,0.8333333333333334,False
A1LNNI0VVYVNOW,1,61.0,1.0,1.0,1.0,1.0,True
A1MDMFJ53QYNMY,2,72.5,1.0,1.0,1.0,1.0,True
A1OJ8IJAEIWL9T,4,35.25,1.0,1.0,1.0,1.0,True
A1OKWQMPOF7UDW,4,37.75,0.75,0.75,1.0,0.8333333333333334,False
A1OQU8PTDY9HXZ,1,45.0,1.0,1.0,1.0,1.0,True
A1QXU4Q3CK75FK,3,42.0,0.6666666666666666,0.0,1.0,0.5555555555555556,False
A1YSC5PYE9N88T,8,46.0,0.75,1.0,1.0,0.9166666666666666,False
A1Z1U7HLU0K6JU,586,13.334470989761092,0.7559726962457338,0.2627986348122867,0.7457337883959044,0.5881683731513083,False
A1ZQSTHC4A4XNG,52,45.76923076923077,0.7884615384615384,0.36538461538461536,0.7692307692307693,0.6410256410256411,False
A289E7Z30M40X2,2,60.5,1.0,1.0,1.0,1.0,True
A28QUR0QYD2WI7,1,53.0,1.0,0.0,1.0,0.6666666666666666,False
A29CNQYJWMJ7G9,1,79.0,1.0,1.0,1.0,1.0,True
A2CDIBAGDUJQZJ,6,257.1666666666667,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,False
A2DTFY1ZHQ0R80,1,64.0,1.0,0.0,1.0,0.6666666666666666,False
A2E9INVNGVJ8XC,18,24.5,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9074074074074074,False
A2G8OW2VLV1R2D,76,20.342105263157894,0.9342105263157895,0.8421052631578947,0.9078947368421053,0.8947368421052632,False
A2I1CYR9TMA16J,1,63.0,1.0,1.0,1.0,1.0,True
A2LAE3OM5OQ0WF,1,44.0,1.0,1.0,1.0,1.0,True
A2NSRHX8GMEMV0,9,24.11111111111111,1.0,0.8888888888888888,1.0,0.9629629629629629,False
A2PJBSDDN22XIX,1,43.0,1.0,0.0,1.0,0.6666666666666666,False
A2QPMJ4GADLUW2,2,34.0,1.0,1.0,1.0,1.0,True
A2SQ0YRMHULZHW,11,69.9090909090909,1.0,0.7272727272727273,1.0,0.9090909090909091,False
A2W3SU4RZN9AZD,29,67.48275862068965,0.9655172413793104,0.896551724137931,0.8620689655172413,0.9080459770114943,False
A2Y7OVN2GP3M2F,1,108.0,0.0,1.0,1.0,0.6666666666666666,False
A315SL4CRW53Q3,1,36.0,1.0,1.0,1.0,1.0,True
A31C20YNLJW828,1,57.0,1.0,1.0,1.0,1.0,True
A34JT9RNHPBH31,592,10.41385135135135,0.7533783783783784,0.25675675675675674,0.75,0.5867117117117117,False
A37B4OS9OGDK1V,5,27.2,0.8,0.8,1.0,0.8666666666666667,False
A37NZ5CUEO3RX7,1,30.0,1.0,1.0,1.0,1.0,True
A39A1V3KWWEQDI,1,47.0,1.0,0.0,1.0,0.6666666666666666,False
A3AFLE1W4L89MH,90,22.711111111111112,0.9333333333333333,0.8777777777777778,0.9333333333333333,0.9148148148148149,False
A3E3R2Y577HGEN,34,518.6470588235294,0.8529411764705882,0.8529411764705882,1.0,0.9019607843137255,False
A3KNUQK6F02ZT6,3,155.0,1.0,0.3333333333333333,1.0,0.7777777777777778,False
A3LMV3K5HJG7Y7,1,49.0,1.0,1.0,1.0,1.0,True
A3N4J0LCOYL05P,58,112.0,0.9827586206896551,0.896551724137931,0.7758620689655172,0.8850574712643678,False
A3O8R8BC87XGV5,26,92.3076923076923,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.9487179487179487,True
A3R3IONB87WU0R,3,71.66666666666667,1.0,1.0,1.0,1.0,True
A90Y3HY664RTI,10,38.6,1.0,0.8,1.0,0.9333333333333333,False
A971OT068WA90,45,24.266666666666666,0.9555555555555556,0.7333333333333333,0.9555555555555556,0.8814814814814815,False
ABFJSOC07JFH2,2,177.0,1.0,1.0,1.0,1.0,True
AC2R7AC4M5MG2,26,74.88461538461539,0.9615384615384616,0.9615384615384616,1.0,0.9743589743589743,True
AFTPEV52G3W61,1,59.0,1.0,1.0,1.0,1.0,True
AHOMF1C0WQ5EN,10,23.1,1.0,1.0,1.0,1.0,True
AK0R311RKPCQQ,3,40.333333333333336,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,False
AL8KR5GQCWSVO,39,29.871794871794872,0.9487179487179487,0.9743589743589743,0.8461538461538461,0.9230769230769231,False
ALZLRW088PN03,1,48.0,1.0,1.0,1.0,1.0,True
AM3R2Z15PS86B,6,36.666666666666664,1.0,0.5,1.0,0.8333333333333334,False
ARJDD0Z3R65BD,38,26.157894736842106,0.9736842105263158,0.8421052631578947,0.8947368421052632,0.9035087719298246,False
ARQA90W3DRJCB,1,41.0,1.0,1.0,1.0,1.0,True
ARS00BMD1QNLW,9,20.77777777777778,0.8888888888888888,0.8888888888888888,1.0,0.9259259259259259,False
AWEUE7867RJ7B,1,57.0,1.0,1.0,1.0,1.0,True
AXCSQTYZEJEVQ,1,49.0,1.0,1.0,1.0,1.0,True
